,Airport,Hour,AIRPORT_POS,AvgDelay,LowDelay,HighDelay,Count
2573,TTN,08,"{'lat': 40.27669, 'lon': -74.81347}",19.0,19.0,19.0,1
653,CAE,08,"{'lat': 33.93884, 'lon': -81.11954}",-5.0,-5.0,-5.0,1
660,CAK,08,"{'lat': 40.916309999999996, 'lon': -81.44247}",-5.0,-5.0,-5.0,1
2195,ROA,08,"{'lat': 37.32547, 'lon': -79.97543}",-10.0,-10.0,-10.0,1
2513,STT,08,"{'lat': 18.337310000000002, 'lon': -64.97336}",-7.0,-7.0,-7.0,1
2532,SYR,08,"{'lat': 43.11119, 'lon': -76.10631}",-3.0,-3.0,-3.0,1
643,BZN,08,"{'lat': 45.7769, 'lon': -111.15301000000001}",-3.0,-3.0,-3.0,1
2167,RIC,08,"{'lat': 37.50517, 'lon': -77.31967}",-8.666666666666666,-12.0,-5.0,3
670,CHA,08,"{'lat': 35.035270000000004, 'lon': -85.20379}",-6.0,-6.0,-6.0,1
2201,ROC,08,"{'lat': 43.11887, 'lon': -77.67238}",-6.0,-6.0,-6.0,1
2553,TPA,08,"{'lat': 27.97547, 'lon': -82.53325}",-5.214285714285714,-9.0,-2.0,14
2499,STL,08,"{'lat': 38.747690000000006, 'lon': -90.35999}",1.125,-10.0,53.0,8
675,CHO,08,"{'lat': 38.13864, 'lon': -78.45286}",-9.0,-9.0,-9.0,1
453,BDL,08,"{'lat': 41.93887, 'lon': -72.68323000000001}",36.0,-3.0,113.0,3
2148,RDU,08,"{'lat': 35.87764, 'lon': -78.78747}",-5.4,-9.0,-2.0,5
2217,RSW,08,"{'lat': 26.536170000000002, 'lon': -81.75516999999999}",4.0,-8.0,42.0,5
682,CHS,08,"{'lat': 32.89865, 'lon': -80.04051}",-3.5,-4.0,-3.0,2
2231,SAF,08,"{'lat': 35.61678, 'lon': -106.08814}",-5.0,-5.0,-5.0,1
2129,PWM,08,"{'lat': 43.64617, 'lon': -70.30875}",-4.0,-4.0,-4.0,1
492,BIS,08,"{'lat': 46.77411, 'lon': -100.74672}",-7.0,-7.0,-7.0,1
424,AUS,08,"{'lat': 30.19453, 'lon': -97.66986999999999}",3.6666666666666665,-6.0,13.0,6
2624,TYS,08,"{'lat': 35.812490000000004, 'lon': -83.99286}",-10.0,-10.0,-10.0,1
475,BHM,08,"{'lat': 33.562940000000005, 'lon': -86.75355}",-5.5,-8.0,-3.0,2
761,CMI,08,"{'lat': 40.03925, 'lon': -88.27806}",-5.0,-5.0,-5.0,1
2354,SFO,08,"{'lat': 37.619, 'lon': -122.37483999999999}",11.393939393939394,-10.0,193.0,33
2317,SDF,08,"{'lat': 38.17439, 'lon': -85.736}",-3.0,-3.0,-3.0,1
578,BTR,08,"{'lat': 30.53316, 'lon': -91.14963}",1.0,1.0,1.0,1
1997,PDX,08,"{'lat': 45.58872, 'lon': -122.5975}",-4.0,-13.0,5.0,6
2650,XNA,08,"{'lat': 36.28187, 'lon': -94.30681}",-4.0,-4.0,-4.0,1
773,COS,08,"{'lat': 38.80581, 'lon': -104.70025}",-3.4,-5.0,-2.0,5
526,BOI,08,"{'lat': 43.564440000000005, 'lon': -116.22278}",2.0,2.0,2.0,1
747,CMH,08,"{'lat': 39.99799, 'lon': -82.89188}",-1.75,-9.0,4.0,4
2039,PHX,08,"{'lat': 33.43417, 'lon': -112.00806000000001}",7.291666666666667,-10.0,43.0,24
2415,SJU,08,"{'lat': 18.439420000000002, 'lon': -66.00183}",0.0,0.0,0.0,1
541,BOS,08,"{'lat': 42.36435, 'lon': -71.00518000000001}",-0.875,-8.0,9.0,16
2334,SEA,08,"{'lat': 47.44898, 'lon': -122.30931000000001}",6.36,-6.0,48.0,25
331,ACY,08,"{'lat': 39.45758, 'lon': -74.57717}",-8.0,-8.0,-8.0,1
402,ATL,08,"{'lat': 33.640440000000005, 'lon': -84.42694}",0.7105263157894737,-9.0,21.0,38
2019,PHL,08,"{'lat': 39.87195, 'lon': -75.24114}",-6.8,-14.0,-3.0,5
2066,PIT,08,"{'lat': 40.49147, 'lon': -80.23286999999999}",-1.75,-5.0,3.0,4
2661,YUM,08,"{'lat': 32.65658, 'lon': -114.60597}",89.0,89.0,89.0,1
2393,SJC,08,"{'lat': 37.36186, 'lon': -121.92901}",-1.0,-4.0,7.0,5
2302,SBP,08,"{'lat': 35.23706, 'lon': -120.64238999999999}",-6.0,-6.0,-6.0,1
2435,SLC,08,"{'lat': 40.78839, 'lon': -111.97776999999999}",16.1,-11.0,102.0,10
2057,PIA,08,"{'lat': 40.66424, 'lon': -89.69331}",-6.5,-8.0,-5.0,2
940,DTW,09,"{'lat': 42.21206, 'lon': -83.34884}",13.375,-3.0,44.0,8
1716,MGM,09,"{'lat': 32.30064, 'lon': -86.39398}",-9.0,-9.0,-9.0,1
2218,RSW,09,"{'lat': 26.536170000000002, 'lon': -81.75516999999999}",17.25,-8.0,89.0,4
2394,SJC,09,"{'lat': 37.36186, 'lon': -121.92901}",27.75,-7.0,171.0,8
486,BIL,09,"{'lat': 45.80766, 'lon': -108.54286}",-5.0,-5.0,-5.0,1
1044,FAT,09,"{'lat': 36.77619, 'lon': -119.71813999999999}",0.0,0.0,0.0,1
1725,MHT,09,"{'lat': 42.93452, 'lon': -71.43706}",-1.5,-3.0,0.0,2
1400,JAX,09,"{'lat': 30.494059999999998, 'lon': -81.68786}",-3.4,-8.0,0.0,5
587,BTV,09,"{'lat': 44.473, 'lon': -73.15031}",9.0,9.0,9.0,1
2202,ROC,09,"{'lat': 43.11887, 'lon': -77.67238}",2.0,2.0,2.0,1
1560,LGB,09,"{'lat': 33.81772, 'lon': -118.15161}",-11.0,-11.0,-11.0,1
2335,SEA,09,"{'lat': 47.44898, 'lon': -122.30931000000001}",7.647058823529412,-8.0,105.0,17
2355,SFO,09,"{'lat': 37.619, 'lon': -122.37483999999999}",4.137931034482759,-10.0,81.0,29
2500,STL,09,"{'lat': 38.747690000000006, 'lon': -90.35999}",-3.8,-10.0,7.0,5
927,DSM,09,"{'lat': 41.534929999999996, 'lon': -93.66068}",-4.0,-4.0,-4.0,1
644,BZN,09,"{'lat': 45.7769, 'lon': -111.15301000000001}",-9.0,-9.0,-9.0,1
350,ALB,09,"{'lat': 42.74812, 'lon': -73.80298}",-4.5,-5.0,-4.0,2
1387,JAN,09,"{'lat': 32.311170000000004, 'lon': -90.07589}",-4.5,-5.0,-4.0,2
1113,GEG,09,"{'lat': 47.619859999999996, 'lon': -117.53383999999998}",3.5,-4.0,11.0,2
542,BOS,09,"{'lat': 42.36435, 'lon': -71.00518000000001}",2.05,-12.0,47.0,20
917,DLH,09,"{'lat': 46.84209, 'lon': -92.19365}",-6.0,-6.0,-6.0,1
1544,LGA,09,"{'lat': 40.77724, 'lon': -73.87261}",8.764705882352942,-12.0,139.0,17
1753,MKE,09,"{'lat': 42.94722, 'lon': -87.89658}",49.333333333333336,-5.0,152.0,3
361,AMA,09,"{'lat': 35.21937, 'lon': -101.70593000000001}",-6.0,-6.0,-6.0,1
1735,MIA,09,"{'lat': 25.79325, 'lon': -80.29056}",5.8,-7.0,157.0,25
1699,MFE,09,"{'lat': 26.175829999999998, 'lon': -98.23861}",-3.0,-4.0,-2.0,2
